addr	size	name	string_hints
0003e6e0	712	FUN_0003e6e0	s_ERROR:_USB_MAX_HUB_(%d)_reached_000791b0
0003e734	36	FUN_0003e734	s_usbkbd_000791d1
0003e75c	64	FUN_0003e75c	s_usbkbd_000791d1
0003e7a0	264	FUN_0003e7a0	
0003ea64	112	FUN_0003ea64	s_usbkbd_000791d1
0003ed04	232	FUN_0003ed04	
0003edec	228	FUN_0003edec	
0003eed0	124	FUN_0003eed0	
0003ef50	128	FUN_0003ef50	
0003efd4	468	FUN_0003efd4	s_Read_Error_Wait_Retry_00079200
0003f1b0	444	FUN_0003f1b0	
0003f398	96	FUN_0003f398	s_Device_%d:_0007d929+1,s_No_storage_devices,_perhaps_not_'_00079217
0003f404	228	FUN_0003f404	
0003f4f4	540	FUN_0003f4f4	
0003f714	196	FUN_0003f714	s_Did_not_get_interrupt_on_CBI_00079249
0003f7dc	544	FUN_0003f7dc	s_cmd_0x%02X_returned_0x%02X_0x%02_00079268,s_cmd_0x%02X_returned_0x%02X_0x%02_000792a5
0003fa04	76	FUN_0003fa04	
0003fa50	464	FUN_0003fa50	
00040264	108	FUN_00040264	s_mmc_00075abb+0x1d
000402d4	368	FUN_000402d4	s_not_available_0007952c+0x16,s_able_0007952c+0x1f,s_ble_0007952c+0x20,s__0007957c+7
000404d0	32	FUN_000404d0	
000404f0	148	FUN_000404f0	s_Partition_Map_for_00079551,s_SCSI_00078272+8,s_UNKNOWN_0007957c,s_device_%d_--_Partition_Type:_%s_00079584
000405d4	44	FUN_000405d4	
00040600	128	FUN_00040600	s_**_Bad_device_specification_%s_%_000795ca
00040684	624	FUN_00040684	s_bootdevice_000795f0,s_**_No_device_specified_**_000795fb,s_**_Bad_partition_specification_%_0007961b,s_**_Bad_device_size_-_%s_%s_**_00079644
0004091c	36	FUN_0004091c	
00040940	24	FUN_00040940	
00040958	100	FUN_00040958	s_FAT32_000796df
000409c4	436	FUN_000409c4	s_**_Can't_read_partition_table_on_000796f1,s_bad_MBR_sector_signature_0x%02x%_0007971c,s_Boot_000796eb,s_Extd_000796e5
00040b90	532	FUN_00040b90	s_**_Can't_read_partition_table_on_000796f1,s_bad_MBR_sector_signature_0x%02x%_0007971c,s_hd%c%d_00079759,s_sd%c%d_00079760
00040de4	100	FUN_00040de4	
00040e48	40	FUN_00040e48	s_Partition_Start_Sector_Num_Secto_00079780
00040e74	32	FUN_00040e74	
00040e94	8	FUN_00040e94	
00040e9c	8	FUN_00040e9c	
00040ea4	60	FUN_00040ea4	
